Year,Mean_60_90,District_60,District_90
2001,7.743837500000001,7.646325000000001,7.84135
2002,3.507087500000001,4.2502,2.7639750000000003
2003,5.1681625,5.6221,4.714225
2004,9.9496375,10.2489,9.650375
2005,7.491650000000001,7.753925000000001,7.229375
2006,7.508462500000001,7.767375,7.24955
2007,8.6315375,9.112375,8.1507
2008,9.314125,9.48225,9.146
2009,10.470825,11.291275,9.650375
2010,9.2502375,9.88575,8.614725
2011,9.462075,10.181650000000001,8.7425
2012,4.9496,4.9563250000000005,4.942875
2013,9.5663125,10.174925000000002,8.957699999999999
2014,10.9382125,11.156775000000001,10.719650000000001
2015,10.860875,11.795650000000002,9.9261
2016,10.447287500000002,11.4594,9.435175000000001
2017,10.6893875,11.6477,9.731075
2018,11.419050000000002,12.49505,10.343050000000002
