Year,Mean_60_90,District_60,District_90
2001,2.6227500000000004,2.6227500000000004,2.6227500000000004
2002,1.7619500000000001,2.0780250000000002,1.445875
2003,2.0343125,2.0511250000000003,2.0175
2004,2.8715750000000004,2.885025,2.8581250000000002
2005,2.9287375,2.8783,2.979175
2006,2.8413125000000004,3.02625,2.656375
2007,3.2179125,3.369225,3.0666
2008,2.6227500000000004,2.6900000000000004,2.5555000000000003
2009,3.3120625,3.4970000000000003,3.1271250000000004
2010,2.9758125,3.228,2.723625
2011,3.2683500000000003,3.3759500000000005,3.16075
2012,1.8561000000000003,1.7485000000000002,1.9637
2013,3.1103125,3.18765,3.0329750000000004
2014,3.221275,3.3625000000000003,3.08005
2015,3.3356000000000003,3.7122000000000006,2.959
2016,3.7021125,3.83325,3.5709750000000002
2017,3.355775,3.584425,3.1271250000000004
2018,3.3591375000000006,3.5642500000000004,3.1540250000000003
