County,District Code,Mean Yield (2002-2006),Min Yield (2002-2006),Max Yield (2002-2006),Std Dev Yield (2002-2006),Mean Yield (2002-2006) in Tons/Ha,Min Yield (2002-2006) in Tons/Ha,Max Yield (2002-2006) in Tons/Ha,Std Dev Yield (2002-2006) in Tons/Ha,Unit
BUTLER,60,54.8,48,61,5.069516742,3.685349629,3.228043471,4.102305244,0.340929592,Tons/Ha
CASS,60,54.8,48,64,6.140032573,3.685349629,3.228043471,4.304057961,0.412922751,Tons/Ha
COLFAX,60,52.8,45,58,4.7644517,3.550847818,3.026290754,3.900552527,0.320413692,Tons/Ha
DODGE,60,51.8,47,58,4.494441011,3.483596912,3.160792565,3.900552527,0.302255228,Tons/Ha
DOUGLAS,60,46.6,41,51,4.827007354,3.133892203,2.757287131,3.429796188,0.324620616,Tons/Ha
HAMILTON,60,60.0,57,66,3.674234614,4.035054338,3.833301622,4.438559772,0.247095605,Tons/Ha
LANCASTER,60,51.8,47,55,3.563705936,3.483596912,3.160792565,3.69879981,0.239662452,Tons/Ha
MERRICK,60,53.6,48,59,4.449719092,3.604648542,3.228043471,3.967803433,0.299247639,Tons/Ha
NANCE,60,53.6,49,61,5.504543578,3.604648542,3.295294376,4.102305244,0.370185541,Tons/Ha
PLATTE,60,53.8,46,58,4.604345773,3.618098723,3.093541659,3.900552527,0.309646423,Tons/Ha
POLK,60,55.8,49,61,4.604345773,3.752600535,3.295294376,4.102305244,0.309646423,Tons/Ha
SARPY,60,52.2,47,57,3.701351105,3.510497274,3.160792565,3.833301622,0.248919214,Tons/Ha
SAUNDERS,60,54.4,50,60,4.5607017,3.658449267,3.362545282,4.035054338,0.30671132,Tons/Ha
SEWARD,60,59.0,55,62,3.31662479,3.967803433,3.69879981,4.16955615,0.223046021,Tons/Ha
WASHINGTON,60,46.0,40,54,5.477225575,3.093541659,2.690036226,3.631548905,0.36834838,Tons/Ha
YORK,60,58.6,54,65,4.037325848,3.940903071,3.631548905,4.371308867,0.27151382,Tons/Ha
