id_x,AWATER,LSAD,CBSAFP,STATEFP,COUNTYFP,NAMELSAD,ALAND,County,County_1,District_C,Mean_Yield,Min_Yield_,Max_Yield_,Std_Dev_Yi,Mean_Yie_1,Min_Yield1,Max_Yield1,Std_Dev__1,Unit,Shape_Leng,Shape_Area,mean_grain_yield_B,mean_yield_run_2003,mean_yield_run_2004,mean_yield_run_2005,mean_yield_run_2006,mean_yield_run_2002,STD_2002_2006_B
00000000000000000689,22010741.0,06,13100,31,067,Gage County,2205275200.0,GAGE,GAGE,90,3.497047093,48,55,3.240370349,3.497047093,3.228043471,3.69879981,0.217917841,Tons/Ha,1.95031300628,0.235795612917,3.4604073692589146,3.149716331248062,3.87935727996124,3.4320260344496125,3.6912208693875965,3.149716331248062,0.3250604720222144
00000000000000000ac3,1718484.0,06,,31,129,Nuckolls County,1489645187.0,NUCKOLLS,NUCKOLLS,90,3.779500897,53,60,3.1144823,3.779500897,3.564297999,4.035054338,0.209451755,Tons/Ha,1.60265399355,0.157692784088,3.5666558545750005,3.256784899647727,3.918364285784091,3.5739059568522724,3.827439230943182,3.256784899647727,0.30975771635734095
00000000000000000acd,14232352.0,06,,31,095,Jefferson County,1476736212.0,JEFFERSON,JEFFERSON,90,3.604648542,46,59,4.827007354,3.604648542,3.093541659,3.967803433,0.324620616,Tons/Ha,1.60388389775,0.157646817986,3.415408037206897,3.104479637735632,3.742985618758621,3.4585075734712643,3.6665877183333335,3.104479637735632,0.3023279731383549
00000000000000000ace,5821039.0,06,,31,151,Saline County,1486812299.0,SALINE,SALINE,90,3.752600535,52,59,2.774887385,3.752600535,3.497047093,3.967803433,0.18661369,Tons/Ha,1.60782933933,0.158627690389,3.4472145955333335,3.1786365801515153,3.7316237808585857,3.5238030774545455,3.6233729590505055,3.1786365801515153,0.2559562706744503
00000000000000000ad0,8689334.0,06,,31,131,Otoe County,1594561657.0,OTOE,OTOE,90,3.429796188,42,56,5.830951895,3.429796188,2.824538037,3.766050716,0.392136796,Tons/Ha,2.08404696808,0.170696721167,3.506471772340187,3.290078598962617,3.9855256032897195,3.345751595757009,3.620924464728972,3.290078598962617,0.30086333187687686
00000000000000000ad3,5769942.0,06,,31,127,Nemaha County,1055100620.0,NEMAHA,NEMAHA,90,3.523947456,45,58,6.426507605,3.523947456,3.026290754,3.900552527,0.432188457,Tons/Ha,1.69706679616,0.112518587915,3.4485716870750003,3.099483370484375,4.108784515296875,3.331848236234375,3.603258942875,3.099483370484375,0.42342614326230466
00000000000000000ae0,1711433.0,06,,31,097,Johnson County,974023330.0,JOHNSON,JOHNSON,90,3.470146731,47,56,3.209361307,3.470146731,3.160792565,3.766050716,0.215832454,Tons/Ha,1.31743348765,0.103494957856,3.48397429942963,3.2122066673148146,3.9293766127592593,3.396889167555556,3.6691923822037036,3.2122066673148146,0.31144344222908316
00000000000000000ae9,3025339.0,06,,31,169,Thayer County,1486153243.0,THAYER,THAYER,90,3.739150354,52,60,3.286335345,3.739150354,3.497047093,4.035054338,0.221009028,Tons/Ha,1.60290452228,0.157459054601,3.5175882451909093,3.2244434926818184,3.849648543352273,3.5347003417613636,3.754705355477273,3.2244434926818184,0.2909678166489544
00000000000000000af7,2989990.0,06,,31,059,Fillmore County,1490202784.0,FILLMORE,FILLMORE,90,3.860201984,53,64,4.159326869,3.860201984,3.564297999,4.304057961,0.279718499,Tons/Ha,1.60917232819,0.158688719739,3.578471782857732,3.299451122546392,3.829673671443299,3.659235781092783,3.804547216659794,3.299451122546392,0.26288798554223136
00000000000000000af9,3234877.0,06,,31,035,Clay County,1482222908.0,CLAY,CLAY,90,3.954353252,55,65,4.494441011,3.954353252,3.69879981,4.371308867,0.302255228,Tons/Ha,1.60394008302,0.157864365341,3.708742962527273,3.4522947764545453,3.8587347324949497,3.800483148686869,3.979907378545455,3.4522947764545453,0.24288643313753658
00000000000000000ae4,4852361.0,06,,31,133,Pawnee County,1116478182.0,PAWNEE,PAWNEE,90,3.631548905,50,58,4.0,3.631548905,3.362545282,3.900552527,0.269003623,Tons/Ha,1.43014061824,0.118488572874,3.4680509031939395,3.105859134787879,4.078274501242425,3.375135838909091,3.675125906242424,3.105859134787879,0.4142015994283599
00000000000000000afe,7077613.0,06,,31,147,Richardson County,1429261306.0,RICHARDSON,RICHARDSON,90,4.124722213,60,62,1.154700538,4.124722213,4.035054338,4.16955615,0.077654657,Tons/Ha,1.90016816837,0.151760072213,3.442702622235898,3.0196154451153845,4.2132913120641025,3.357475088141026,3.6035158207435902,3.0196154451153845,0.49621997772180765
