id_x,AWATER,LSAD,CBSAFP,STATEFP,COUNTYFP,NAMELSAD,ALAND,County,County_1,District_C,Mean_Yield,Min_Yield_,Max_Yield_,Std_Dev_Yi,Mean_Yie_1,Min_Yield1,Max_Yield1,Std_Dev__1,Unit,Shape_Leng,Shape_Area,mean_grain_yield_B,mean_yield_run_2003,mean_yield_run_2004,mean_yield_run_2005,mean_yield_run_2006,mean_yield_run_2002,STD_2002_2006_W,mean_grain_yield_W
00000000000000000689,22010741.0,06,13100,31,067,Gage County,2205275200.0,GAGE,GAGE,90,3.497047093,48,55,3.240370349,3.497047093,3.228043471,3.69879981,0.217917841,Tons/Ha,1.95031300628,0.235795612917,3.5838589942728682,3.4486853523023253,4.187024917775195,3.5847454566666666,3.384144082232558,3.314695162387597,0.35157397694510956,3.5838589942728682
00000000000000000ac3,1718484.0,06,,31,129,Nuckolls County,1489645187.0,NUCKOLLS,NUCKOLLS,90,3.779500897,53,60,3.1144823,3.779500897,3.564297999,4.035054338,0.209451755,Tons/Ha,1.60265399355,0.157692784088,3.7481350662,3.638675158443182,4.333405946568182,3.7157840738636363,3.5676337260113637,3.4851764261136364,0.3381190772953328,3.7481350662
00000000000000000acd,14232352.0,06,,31,095,Jefferson County,1476736212.0,JEFFERSON,JEFFERSON,90,3.604648542,46,59,4.827007354,3.604648542,3.093541659,3.967803433,0.324620616,Tons/Ha,1.60388389775,0.157646817986,3.558698488108046,3.4380471969655173,4.158249629827586,3.568665129735632,3.35478874783908,3.2737417361724135,0.3524546680734839,3.558698488108046
00000000000000000ace,5821039.0,06,,31,151,Saline County,1486812299.0,SALINE,SALINE,90,3.752600535,52,59,2.774887385,3.752600535,3.497047093,3.967803433,0.18661369,Tons/Ha,1.60782933933,0.158627690389,3.646369049858586,3.5621635392222224,4.196374331838384,3.6209388123939394,3.443114441939394,3.40925412389899,0.31928787909891176,3.646369049858586
00000000000000000ad0,8689334.0,06,,31,131,Otoe County,1594561657.0,OTOE,OTOE,90,3.429796188,42,56,5.830951895,3.429796188,2.824538037,3.766050716,0.392136796,Tons/Ha,2.08404696808,0.170696721167,3.6583792357214953,3.5695170806168224,4.266900105943925,3.653385287280374,3.4273499024112146,3.37474380235514,0.35778578910356956,3.6583792357214953
00000000000000000ad3,5769942.0,06,,31,127,Nemaha County,1055100620.0,NEMAHA,NEMAHA,90,3.523947456,45,58,6.426507605,3.523947456,3.026290754,3.900552527,0.432188457,Tons/Ha,1.69706679616,0.112518587915,3.616542136815625,3.521210729765625,4.265620346640625,3.61461876125,3.345338867265625,3.3359219791562498,0.3816717127692031,3.616542136815625
00000000000000000ae0,1711433.0,06,,31,097,Johnson County,974023330.0,JOHNSON,JOHNSON,90,3.470146731,47,56,3.209361307,3.470146731,3.160792565,3.766050716,0.215832454,Tons/Ha,1.31743348765,0.103494957856,3.6277247948481484,3.541982593074074,4.243045079388889,3.6088569788148153,3.4071435783518518,3.337595744611111,0.36026299805720513,3.6277247948481484
00000000000000000ae9,3025339.0,06,,31,169,Thayer County,1486153243.0,THAYER,THAYER,90,3.739150354,52,60,3.286335345,3.739150354,3.497047093,4.035054338,0.221009028,Tons/Ha,1.60290452228,0.157459054601,3.6534976196418607,3.562146414302326,4.221534726848837,3.6202161957325583,3.4695690210116283,3.3940217403139537,0.3291186383378942,3.6534976196418607
00000000000000000af7,2989990.0,06,,31,059,Fillmore County,1490202784.0,FILLMORE,FILLMORE,90,3.860201984,53,64,4.159326869,3.860201984,3.564297999,4.304057961,0.279718499,Tons/Ha,1.60917232819,0.158688719739,3.7739123528185567,3.697939862515464,4.275526485793814,3.727873090030928,3.6063892645670106,3.561833061185567,0.28833564748322715,3.7739123528185567
00000000000000000af9,3234877.0,06,,31,035,Clay County,1482222908.0,CLAY,CLAY,90,3.954353252,55,65,4.494441011,3.954353252,3.69879981,4.371308867,0.302255228,Tons/Ha,1.60394008302,0.157864365341,3.8873535773434345,3.83721659259596,4.34220339620202,3.8116059853333333,3.7390585088484847,3.7066834037373737,0.25969834020520394,3.8873535773434345
00000000000000000ae4,4852361.0,06,,31,133,Pawnee County,1116478182.0,PAWNEE,PAWNEE,90,3.631548905,50,58,4.0,3.631548905,3.362545282,3.900552527,0.269003623,Tons/Ha,1.43014061824,0.118488572874,3.580254869690909,3.4518755482727275,4.233068035272727,3.563395223818182,3.3463723682424242,3.306563172848485,0.3783314341909706,3.580254869690909
00000000000000000afe,7077613.0,06,,31,147,Richardson County,1429261306.0,RICHARDSON,RICHARDSON,90,4.124722213,60,62,1.154700538,4.124722213,4.035054338,4.16955615,0.077654657,Tons/Ha,1.90016816837,0.151760072213,3.5788149593282057,3.4422040120256407,4.25500178098718,3.5862860564230767,3.275847080923077,3.334735866282051,0.3960148750386495,3.5788149593282057
