,ET,Formatted_Date,Date,LAID,AGB,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW_Mean
0,1.45,05/05/2005,2005-05-05,0.0,0,0.281,0.346,0.349,0.34,0.34,0.4,0.4,0.35085714285714287
1,1.33,06/05/2005,2005-05-06,0.0,0,0.26,0.344,0.349,0.34,0.34,0.4,0.4,0.34757142857142853
2,1.222,07/05/2005,2005-05-07,0.0,0,0.242,0.343,0.348,0.339,0.34,0.4,0.4,0.3445714285714286
3,1.125,08/05/2005,2005-05-08,0.0,0,0.225,0.341,0.348,0.339,0.34,0.4,0.4,0.3418571428571429
4,1.68,09/05/2005,2005-05-09,0.0,0,0.447,0.344,0.348,0.339,0.34,0.4,0.4,0.374
5,2.288,10/05/2005,2005-05-10,0.0,0,0.435,0.441,0.392,0.339,0.339,0.4,0.4,0.3922857142857143
6,2.862,11/05/2005,2005-05-11,0.0,60,0.471,0.44,0.44,0.385,0.337,0.397,0.397,0.4095714285714286
7,1.885,12/05/2005,2005-05-12,0.01,60,0.472,0.441,0.441,0.457,0.426,0.395,0.395,0.43242857142857144
8,2.687,13/05/2005,2005-05-13,0.01,60,0.465,0.436,0.436,0.451,0.431,0.393,0.393,0.42928571428571427
9,3.832,14/05/2005,2005-05-14,0.01,60,0.46,0.432,0.432,0.447,0.427,0.389,0.389,0.42514285714285716
10,2.364,15/05/2005,2005-05-15,0.01,60,0.42,0.429,0.432,0.447,0.427,0.389,0.389,0.419
11,2.157,16/05/2005,2005-05-16,0.01,60,0.385,0.427,0.431,0.446,0.427,0.389,0.389,0.4134285714285714
12,1.983,17/05/2005,2005-05-17,0.01,60,0.353,0.424,0.431,0.446,0.427,0.389,0.389,0.4084285714285714
13,1.886,18/05/2005,2005-05-18,0.02,60,0.343,0.422,0.43,0.446,0.427,0.389,0.389,0.4065714285714286
14,1.824,19/05/2005,2005-05-19,0.03,60,0.315,0.419,0.43,0.446,0.427,0.389,0.389,0.4021428571428572
15,1.703,20/05/2005,2005-05-20,0.03,60,0.291,0.416,0.429,0.446,0.427,0.389,0.389,0.39814285714285713
16,1.6,21/05/2005,2005-05-21,0.05,60,0.269,0.412,0.428,0.445,0.427,0.389,0.389,0.3941428571428572
17,1.587,22/05/2005,2005-05-22,0.08,60,0.249,0.408,0.428,0.445,0.427,0.389,0.389,0.39071428571428574
18,1.57,23/05/2005,2005-05-23,0.1,60,0.232,0.403,0.426,0.445,0.426,0.389,0.389,0.3871428571428571
19,1.594,24/05/2005,2005-05-24,0.13,72,0.216,0.398,0.425,0.445,0.426,0.389,0.389,0.38399999999999995
20,1.581,25/05/2005,2005-05-25,0.15,80,0.312,0.394,0.424,0.445,0.426,0.389,0.389,0.39699999999999996
21,2.146,26/05/2005,2005-05-26,0.17,89,0.294,0.388,0.422,0.444,0.426,0.389,0.389,0.3931428571428571
22,2.063,27/05/2005,2005-05-27,0.2,98,0.271,0.382,0.42,0.444,0.426,0.389,0.389,0.38871428571428573
23,2.152,28/05/2005,2005-05-28,0.22,109,0.252,0.375,0.418,0.444,0.426,0.388,0.389,0.3845714285714286
24,1.614,29/05/2005,2005-05-29,0.23,115,0.278,0.371,0.416,0.444,0.426,0.388,0.389,0.3874285714285714
25,1.889,30/05/2005,2005-05-30,0.25,123,0.257,0.366,0.414,0.443,0.426,0.388,0.389,0.3832857142857143
26,2.292,31/05/2005,2005-05-31,0.28,137,0.445,0.418,0.412,0.443,0.426,0.388,0.389,0.4172857142857143
27,3.098,01/06/2005,2005-06-01,0.32,155,0.429,0.415,0.41,0.443,0.426,0.388,0.389,0.4142857142857143
28,3.052,02/06/2005,2005-06-02,0.36,175,0.392,0.409,0.406,0.443,0.425,0.388,0.389,0.40742857142857136
29,2.953,03/06/2005,2005-06-03,0.37,181,0.436,0.438,0.44,0.454,0.429,0.388,0.389,0.4248571428571429
30,5.066,04/06/2005,2005-06-04,0.39,192,0.462,0.436,0.436,0.454,0.454,0.419,0.385,0.43514285714285716
31,5.16,05/06/2005,2005-06-05,0.42,194,0.455,0.43,0.429,0.449,0.449,0.417,0.382,0.43014285714285716
32,4.227,06/06/2005,2005-06-06,0.48,225,0.41,0.422,0.423,0.448,0.448,0.417,0.382,0.4214285714285714
33,4.0,07/06/2005,2005-06-07,0.57,270,0.368,0.414,0.417,0.447,0.448,0.417,0.382,0.4132857142857143
34,3.936,08/06/2005,2005-06-08,0.67,323,0.337,0.405,0.411,0.446,0.448,0.417,0.382,0.4065714285714286
35,2.009,09/06/2005,2005-06-09,0.7,342,0.452,0.439,0.434,0.445,0.448,0.417,0.382,0.431
36,3.746,10/06/2005,2005-06-10,0.73,360,0.463,0.438,0.437,0.451,0.448,0.415,0.38,0.43314285714285716
37,5.96,11/06/2005,2005-06-11,0.77,386,0.454,0.432,0.431,0.445,0.444,0.411,0.377,0.42771428571428566
38,2.586,12/06/2005,2005-06-12,0.82,411,0.424,0.428,0.428,0.444,0.443,0.411,0.377,0.42214285714285715
39,4.475,13/06/2005,2005-06-13,0.89,454,0.377,0.42,0.423,0.442,0.442,0.411,0.377,0.4131428571428572
40,4.813,14/06/2005,2005-06-14,0.99,512,0.334,0.41,0.415,0.439,0.441,0.411,0.376,0.40371428571428575
41,5.065,15/06/2005,2005-06-15,1.12,593,0.303,0.396,0.405,0.437,0.439,0.411,0.376,0.3952857142857143
42,4.467,16/06/2005,2005-06-16,1.26,685,0.279,0.384,0.396,0.434,0.438,0.411,0.376,0.3882857142857143
43,5.267,17/06/2005,2005-06-17,1.42,797,0.259,0.369,0.383,0.431,0.436,0.41,0.376,0.3805714285714286
44,5.36,18/06/2005,2005-06-18,1.6,922,0.24,0.355,0.37,0.427,0.433,0.41,0.376,0.37299999999999994
45,5.845,19/06/2005,2005-06-19,1.79,1069,0.224,0.34,0.356,0.422,0.43,0.409,0.376,0.36528571428571427
46,5.906,20/06/2005,2005-06-20,2.01,1249,0.209,0.325,0.343,0.415,0.425,0.409,0.376,0.3574285714285714
47,5.228,21/06/2005,2005-06-21,2.29,1481,0.201,0.314,0.333,0.409,0.421,0.408,0.376,0.35171428571428576
48,6.457,22/06/2005,2005-06-22,2.58,1743,0.189,0.3,0.32,0.4,0.414,0.407,0.376,0.3437142857142857
49,7.034,23/06/2005,2005-06-23,2.9,2054,0.177,0.292,0.305,0.389,0.405,0.405,0.376,0.3355714285714286
50,6.852,24/06/2005,2005-06-24,3.22,2396,0.416,0.287,0.295,0.377,0.394,0.403,0.376,0.364
