Date,@YEAR,DOY,DAS,SWTD,SWXD,ROFC,DRNC,PREC,IR#C,IRRC,DTWT,MWTD,TDFD,TDFC,ROFD,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,ET,LAID,AGB
04/23/2005,2005,113,0,438,180,0,0,0,0,0,0,0,0,0,0,0.37,0.4,0.4,0.45,0.45,0.46,0.46,3.964,0,0
04/24/2005,2005,114,1,434,176,0,0,0,0,0,1,0,0,0,0,0.367,0.396,0.396,0.446,0.446,0.456,0.456,1.849,0,0
04/25/2005,2005,115,2,432,175,0,0,0,0,0,100,0,0,0,0,0.337,0.394,0.396,0.446,0.446,0.456,0.456,1.696,0,0
04/26/2005,2005,116,3,430,173,0,0,0,0,0,100,0,0,0,0,0.31,0.392,0.396,0.446,0.446,0.456,0.456,1.558,0,0
04/27/2005,2005,117,4,428,171,0,0,0,0,0,100,0,0,0,0,0.286,0.39,0.395,0.445,0.446,0.456,0.456,1.434,0,0
04/28/2005,2005,118,5,427,170,0,0,0,0,0,100,0,0,0,0,0.264,0.388,0.395,0.445,0.446,0.456,0.456,1.323,0.01,60
04/29/2005,2005,119,6,426,169,0,0,0,0,0,100,0,0,0,0,0.244,0.386,0.394,0.445,0.445,0.455,0.456,1.222,0.01,60
04/30/2005,2005,120,7,424,167,0,0,0,0,0,100,0,0,0,0,0.227,0.383,0.394,0.445,0.445,0.455,0.456,1.132,0.01,60
05/01/2005,2005,121,8,423,166,0,0,0,0,0,100,0,0,0,0,0.211,0.381,0.393,0.445,0.445,0.455,0.456,1.05,0.01,60
05/02/2005,2005,122,9,422,165,0,0,0,0,0,100,0,0,0,0,0.197,0.379,0.393,0.444,0.445,0.455,0.455,0.977,0.01,60
05/03/2005,2005,123,10,421,164,0,0,0,0,0,100,0,0,0,0,0.184,0.377,0.392,0.444,0.445,0.455,0.455,0.911,0.01,60
05/04/2005,2005,124,11,420,163,0,0,0,0,0,100,0,0,0,0,0.172,0.375,0.392,0.444,0.445,0.455,0.455,0.851,0.02,60
05/05/2005,2005,125,12,420,162,0,0,0,0,0,100,0,0,0,0,0.162,0.373,0.391,0.444,0.445,0.455,0.455,0.798,0.02,60
05/06/2005,2005,126,13,419,162,0,0,0,0,0,100,0,0,0,0,0.153,0.371,0.391,0.444,0.445,0.455,0.455,0.749,0.03,60
05/07/2005,2005,127,14,418,161,0,0,0,0,0,100,0,0,0,0,0.145,0.369,0.391,0.443,0.445,0.455,0.455,0.706,0.03,60
05/08/2005,2005,128,15,417,160,0,0,0,0,0,100,0,0,0,0,0.137,0.367,0.39,0.443,0.445,0.455,0.455,1.297,0.04,60
05/09/2005,2005,129,16,428,171,0,0,0,1,12,100,0,0,0,0,0.358,0.365,0.39,0.443,0.444,0.455,0.455,2.078,0.07,60
05/10/2005,2005,130,17,442,185,1,0,17,1,12,100,0,0,0,0.99,0.411,0.458,0.404,0.443,0.444,0.455,0.455,3.007,0.1,60
05/11/2005,2005,131,18,458,201,5,0,41,1,12,100,0,0,0,4.43,0.441,0.457,0.457,0.481,0.459,0.452,0.452,1.908,0.12,67
05/12/2005,2005,132,19,468,210,11,9,67,1,12,92,0,0,0,5.89,0.443,0.458,0.458,0.482,0.482,0.466,0.466,2.695,0.12,69
05/13/2005,2005,133,20,461,204,11,13,67,1,12,99,0,0,0,0,0.437,0.452,0.452,0.474,0.474,0.459,0.459,4.292,0.13,71
05/14/2005,2005,134,21,457,200,11,13,67,1,12,100,0,0,0,0,0.433,0.448,0.448,0.47,0.47,0.455,0.455,2.309,0.14,75
05/15/2005,2005,135,22,454,197,11,13,67,1,12,100,0,0,0,0,0.395,0.445,0.448,0.47,0.47,0.455,0.455,2.103,0.16,81
05/16/2005,2005,136,23,452,195,11,13,67,1,12,100,0,0,0,0,0.361,0.442,0.447,0.47,0.47,0.455,0.455,1.945,0.18,92
05/17/2005,2005,137,24,450,193,11,13,67,1,12,100,0,0,0,0,0.331,0.439,0.447,0.469,0.47,0.455,0.455,1.876,0.2,100
05/18/2005,2005,138,25,450,193,11,13,68,1,12,100,0,0,0,0,0.328,0.436,0.446,0.469,0.47,0.455,0.455,1.854,0.21,106
05/19/2005,2005,139,26,448,191,11,13,68,1,12,100,0,0,0,0,0.3,0.433,0.446,0.469,0.469,0.455,0.455,1.811,0.23,115
05/20/2005,2005,140,27,446,189,11,13,68,1,12,100,0,0,0,0,0.276,0.429,0.445,0.469,0.469,0.455,0.455,1.79,0.26,127
05/21/2005,2005,141,28,444,187,11,13,68,1,12,100,0,0,0,0,0.255,0.424,0.444,0.469,0.469,0.455,0.455,1.814,0.28,136
05/22/2005,2005,142,29,442,185,11,13,68,1,12,100,0,0,0,0,0.236,0.418,0.442,0.468,0.469,0.454,0.455,1.816,0.31,151
