,@YEAR,DOY,DAS,SRAA,TMAXA,TMINA,REFA,EOAA,EOPA,EOSA,ETAA,EPAA,ESAA,EFAA,EMAA,EOAC,ETAC,EPAC,ESAC,EFAC,EMAC,KCAA,KBSA,KEAA,ES1D,ES2D,ES3D,ES4D,ES5D,ES6D,ES7D,TRWUD,Date,Unnamed: 0_x,DAP,L#SD,GSTD,LAID,LWAD,SWAD,GWAD,RWAD,VWAD,CWAD,G#AD,GWGD,HIAD,PWAD,P#AD,WSPD,WSGD,NSTD,EWSD,PST1A,PST2A,KSTD,LN%D,SH%D,HIPD,PWDD,PWTD,SLAD,CHTD,CWID,RDPD,RL1D,RL2D,RL3D,RL4D,RL5D,RL6D,RL7D,CDAD,LDAD,SDAD,SNW0C,SNW1C,DTTD,SWTD,SWXD,ROFC,DRNC,PREC,IR#C,IRRC,DTWT,MWTD,TDFD,TDFC,ROFD,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,Formatted_Date
0,2007,123,2,6.8,17.8,13.5,-99.0,1.546,0.0,1.546,1.546,0.0,1.546,0.0,0.0,6.99,3.3,0.0,3.3,0.0,0.0,-99.0,-99.0,-99.0,1.24,0.192,0.059,0.025,0.013,0.01,0.006,0.0,2007-05-03,2007-05-03,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.71,423,166,0,0,2,0,0,100,0.0,0.0,0.0,0.0,0.343,0.386,0.389,0.43,0.43,0.45,0.45,03/05/2007
1,2007,124,3,13.0,24.2,14.9,-99.0,3.25,0.0,3.25,1.758,0.0,1.758,0.0,0.0,10.24,5.06,0.0,5.06,0.0,0.0,-99.0,-99.0,-99.0,1.418,0.213,0.066,0.028,0.014,0.012,0.007,0.0,2007-05-04,2007-05-04,1,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,11.98,422,165,0,0,3,0,0,100,0.0,0.0,0.0,0.0,0.331,0.384,0.389,0.429,0.43,0.45,0.45,04/05/2007
2,2007,125,4,12.8,26.3,16.9,-99.0,3.329,0.0,3.329,1.979,0.0,1.979,0.0,0.0,13.57,7.04,0.0,7.04,0.0,0.0,-99.0,-99.0,-99.0,1.603,0.238,0.074,0.03,0.016,0.012,0.007,0.0,2007-05-05,2007-05-05,2,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,14.02,464,207,28,0,76,0,0,100,0.0,0.0,0.0,28.05,0.413,0.458,0.46,0.484,0.484,0.464,0.456,05/05/2007
3,2007,126,5,9.7,19.8,16.7,-99.0,2.348,0.0,2.348,2.348,0.0,2.348,0.0,0.0,15.92,9.39,0.0,9.39,0.0,0.0,-99.0,-99.0,-99.0,0.108,0.232,0.348,0.364,0.364,0.469,0.464,0.0,2007-05-06,2007-05-06,3,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,10.34,467,210,34,17,104,0,0,92,0.0,0.0,0.0,6.27,0.442,0.458,0.458,0.482,0.482,0.465,0.465,06/05/2007
4,2007,127,6,10.6,19.7,13.3,-99.0,2.497,0.0,2.497,2.497,0.0,2.497,0.0,0.0,18.42,11.89,0.0,11.89,0.0,0.0,-99.0,-99.0,-99.0,0.12,0.246,0.369,0.383,0.384,0.498,0.498,0.0,2007-05-07,2007-05-07,4,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.71,464,207,34,18,105,0,0,95,0.0,0.0,0.0,0.0,0.442,0.457,0.455,0.477,0.478,0.462,0.462,07/05/2007
5,2007,128,7,27.9,24.5,10.7,-99.0,6.835,0.0,6.835,4.235,0.0,4.235,0.0,0.0,25.25,16.12,0.0,16.12,0.0,0.0,-99.0,-99.0,-99.0,0.203,0.418,0.628,0.648,0.649,0.844,0.844,0.0,2007-05-08,2007-05-08,5,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,11.32,458,201,34,20,105,0,0,100,0.0,0.0,0.0,0.0,0.436,0.45,0.451,0.47,0.471,0.456,0.456,08/05/2007
6,2007,129,8,22.0,25.9,10.6,-99.0,5.476,0.0,5.476,2.251,0.0,2.251,0.0,0.0,30.73,18.37,0.0,18.37,0.0,0.0,-99.0,-99.0,-99.0,1.848,0.257,0.079,0.031,0.016,0.012,0.007,0.0,2007-05-09,2007-05-09,6,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,11.68,456,199,34,20,105,0,0,100,0.0,0.0,0.0,0.0,0.399,0.448,0.45,0.47,0.471,0.456,0.456,09/05/2007
7,2007,130,9,28.1,29.2,12.4,-99.0,7.353,0.0,7.353,2.062,0.0,2.062,0.0,0.0,38.08,20.43,0.0,20.43,0.0,0.0,-99.0,-99.0,-99.0,1.661,0.255,0.079,0.031,0.016,0.012,0.007,0.0,2007-05-10,2007-05-10,7,1.0,1,0.01,30,30,0,30,60,60,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19.2,0.0,0.0,0.15,0.57,0.23,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,14.92,454,197,34,20,105,0,0,100,0.0,0.0,0.0,0.0,0.366,0.445,0.45,0.47,0.47,0.456,0.456,10/05/2007
8,2007,131,10,28.8,30.5,13.7,-99.0,7.694,0.029,7.665,1.921,0.029,1.892,0.0,0.0,45.77,22.35,0.03,22.33,0.0,0.0,-99.0,-99.0,-99.0,1.493,0.254,0.079,0.031,0.016,0.012,0.007,0.003,2007-05-11,2007-05-11,8,2.0,1,0.01,30,30,0,31,60,60,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,37.4,0.0,0.0,0.16,0.55,0.24,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,16.28,452,195,34,20,105,0,0,100,0.0,0.0,0.0,0.0,0.336,0.442,0.449,0.469,0.47,0.456,0.456,11/05/2007
9,2007,132,11,28.6,32.1,14.4,-99.0,7.791,0.056,7.734,1.793,0.056,1.738,0.0,0.0,53.56,24.15,0.08,24.06,0.0,0.0,-99.0,-99.0,-99.0,1.341,0.252,0.079,0.031,0.016,0.012,0.007,0.006,2007-05-12,2007-05-12,9,2.0,1,0.02,30,30,0,33,60,60,0,0.0,0.0,0,0,0.0,0.0,0.0,0.201,0.0,0.0,0.0,0.0,0.0,0.0,0,0,55.1,0.0,0.0,0.18,0.54,0.25,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,17.53,450,193,34,20,105,0,0,100,0.0,0.0,0.0,0.0,0.308,0.44,0.449,0.469,0.47,0.456,0.456,12/05/2007
