,ET,Formatted_Date,Date,LAID,AGB,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW_Mean
0,1.806,02/06/2004,2004-06-02,0.0,0,0.329,0.415,0.419,0.32,0.32,0.42,0.42,0.3775714285714286
1,1.657,03/06/2004,2004-06-03,0.0,0,0.303,0.413,0.419,0.32,0.32,0.42,0.42,0.3735714285714286
2,1.524,04/06/2004,2004-06-04,0.0,0,0.279,0.411,0.418,0.319,0.32,0.42,0.42,0.36957142857142855
3,1.646,05/06/2004,2004-06-05,0.0,0,0.349,0.408,0.418,0.319,0.32,0.42,0.42,0.3791428571428571
4,1.771,06/06/2004,2004-06-06,0.0,0,0.327,0.406,0.417,0.319,0.32,0.42,0.42,0.37557142857142856
5,1.691,07/06/2004,2004-06-07,0.012,8,0.32,0.404,0.417,0.319,0.32,0.42,0.42,0.3742857142857143
6,1.647,08/06/2004,2004-06-08,0.013,8,0.294,0.401,0.416,0.319,0.319,0.42,0.42,0.36985714285714283
7,1.545,09/06/2004,2004-06-09,0.013,8,0.281,0.399,0.415,0.319,0.319,0.42,0.42,0.36757142857142855
8,1.455,10/06/2004,2004-06-10,0.014,8,0.26,0.396,0.415,0.319,0.319,0.419,0.42,0.36399999999999993
9,1.366,11/06/2004,2004-06-11,0.015,9,0.241,0.394,0.414,0.319,0.319,0.419,0.42,0.3608571428571428
10,1.768,12/06/2004,2004-06-12,0.015,9,0.417,0.457,0.459,0.445,0.319,0.419,0.42,0.41942857142857143
11,3.819,13/06/2004,2004-06-13,0.017,10,0.437,0.451,0.452,0.446,0.317,0.416,0.416,0.4192857142857143
12,3.817,14/06/2004,2004-06-14,0.02,11,0.432,0.446,0.448,0.442,0.314,0.412,0.412,0.4151428571428571
13,3.784,15/06/2004,2004-06-15,0.022,13,0.44,0.453,0.447,0.438,0.311,0.408,0.408,0.415
14,3.753,16/06/2004,2004-06-16,0.025,14,0.436,0.448,0.443,0.434,0.309,0.405,0.405,0.4114285714285714
15,2.339,17/06/2004,2004-06-17,0.027,16,0.399,0.445,0.442,0.434,0.309,0.404,0.405,0.4054285714285714
16,2.091,18/06/2004,2004-06-18,0.029,17,0.442,0.458,0.451,0.433,0.307,0.402,0.403,0.41371428571428576
17,3.741,19/06/2004,2004-06-19,0.03,19,0.436,0.45,0.448,0.431,0.305,0.399,0.399,0.40971428571428575
18,2.297,20/06/2004,2004-06-20,0.032,20,0.399,0.447,0.447,0.43,0.305,0.399,0.399,0.40371428571428575
19,3.727,21/06/2004,2004-06-21,0.036,22,0.44,0.455,0.454,0.433,0.302,0.395,0.395,0.4105714285714286
20,3.782,22/06/2004,2004-06-22,0.039,25,0.436,0.449,0.449,0.43,0.3,0.392,0.392,0.40685714285714286
21,2.434,23/06/2004,2004-06-23,0.043,29,0.398,0.446,0.448,0.429,0.3,0.392,0.392,0.4007142857142857
22,2.19,24/06/2004,2004-06-24,0.045,30,0.39,0.443,0.447,0.429,0.3,0.392,0.392,0.39899999999999997
23,2.208,25/06/2004,2004-06-25,0.047,33,0.357,0.44,0.446,0.429,0.3,0.392,0.392,0.3937142857142857
24,1.862,26/06/2004,2004-06-26,0.05,35,0.328,0.437,0.445,0.429,0.3,0.392,0.392,0.38899999999999996
25,1.869,27/06/2004,2004-06-27,0.053,38,0.301,0.434,0.444,0.428,0.3,0.391,0.392,0.3842857142857143
26,1.797,28/06/2004,2004-06-28,0.057,43,0.278,0.431,0.443,0.428,0.3,0.391,0.392,0.3804285714285714
27,1.661,29/06/2004,2004-06-29,0.06,47,0.257,0.427,0.442,0.428,0.3,0.391,0.392,0.3767142857142857
28,1.619,30/06/2004,2004-06-30,0.065,53,0.238,0.424,0.44,0.427,0.3,0.391,0.392,0.3731428571428571
29,1.472,01/07/2004,2004-07-01,0.072,58,0.221,0.42,0.439,0.427,0.299,0.391,0.392,0.36985714285714283
30,1.849,02/07/2004,2004-07-02,0.079,62,0.418,0.457,0.453,0.429,0.299,0.391,0.392,0.4055714285714286
31,3.941,03/07/2004,2004-07-03,0.086,68,0.44,0.455,0.455,0.453,0.297,0.388,0.388,0.41085714285714287
32,4.042,04/07/2004,2004-07-04,0.093,76,0.435,0.449,0.449,0.449,0.295,0.384,0.385,0.4065714285714286
33,3.348,05/07/2004,2004-07-05,0.099,81,0.441,0.456,0.453,0.45,0.293,0.381,0.382,0.40800000000000003
34,3.814,06/07/2004,2004-07-06,0.104,87,0.44,0.452,0.449,0.448,0.29,0.378,0.378,0.40499999999999997
35,2.561,07/07/2004,2004-07-07,0.108,91,0.442,0.457,0.457,0.477,0.297,0.376,0.376,0.41171428571428575
36,2.631,08/07/2004,2004-07-08,0.115,96,0.437,0.451,0.451,0.471,0.302,0.373,0.374,0.4084285714285715
37,4.059,09/07/2004,2004-07-09,0.125,106,0.44,0.451,0.448,0.466,0.3,0.37,0.37,0.4064285714285715
38,3.891,10/07/2004,2004-07-10,0.134,114,0.435,0.445,0.443,0.461,0.297,0.367,0.367,0.40214285714285714
39,4.051,11/07/2004,2004-07-11,0.145,126,0.44,0.448,0.439,0.457,0.295,0.364,0.364,0.40099999999999997
40,4.202,12/07/2004,2004-07-12,0.155,139,0.435,0.442,0.432,0.451,0.292,0.36,0.361,0.3961428571428571
41,2.832,13/07/2004,2004-07-13,0.188,154,0.397,0.438,0.43,0.45,0.292,0.36,0.361,0.3897142857142857
42,2.693,14/07/2004,2004-07-14,0.224,171,0.408,0.456,0.437,0.45,0.292,0.36,0.361,0.39485714285714274
43,4.168,15/07/2004,2004-07-15,0.265,192,0.409,0.448,0.432,0.445,0.29,0.357,0.358,0.39128571428571435
44,3.301,16/07/2004,2004-07-16,0.318,221,0.373,0.442,0.428,0.443,0.29,0.357,0.358,0.38442857142857145
45,3.068,17/07/2004,2004-07-17,0.371,254,0.34,0.436,0.424,0.441,0.29,0.357,0.358,0.37800000000000006
46,3.322,18/07/2004,2004-07-18,0.429,295,0.309,0.43,0.419,0.439,0.29,0.357,0.358,0.3717142857142857
47,3.571,19/07/2004,2004-07-19,0.508,340,0.284,0.422,0.413,0.437,0.29,0.356,0.358,0.3657142857142857
48,3.668,20/07/2004,2004-07-20,0.598,390,0.262,0.413,0.406,0.433,0.29,0.356,0.358,0.35971428571428576
49,3.398,21/07/2004,2004-07-21,0.701,443,0.242,0.404,0.399,0.431,0.29,0.355,0.358,0.35414285714285715
50,2.414,22/07/2004,2004-07-22,0.809,481,0.287,0.399,0.395,0.429,0.29,0.355,0.357,0.35885714285714293
51,2.904,23/07/2004,2004-07-23,0.909,531,0.265,0.393,0.39,0.427,0.29,0.354,0.357,0.3537142857142857
52,1.711,24/07/2004,2004-07-24,0.963,558,0.344,0.389,0.388,0.426,0.289,0.354,0.357,0.3638571428571428
53,4.452,25/07/2004,2004-07-25,1.04,629,0.311,0.38,0.38,0.423,0.289,0.353,0.357,0.3561428571428572
54,4.446,26/07/2004,2004-07-26,1.12,707,0.284,0.37,0.372,0.419,0.289,0.352,0.357,0.3489999999999999
55,4.941,27/07/2004,2004-07-27,1.245,812,0.262,0.358,0.361,0.415,0.289,0.351,0.356,0.34171428571428564
56,3.537,28/07/2004,2004-07-28,1.396,892,0.299,0.35,0.354,0.412,0.289,0.351,0.356,0.34442857142857136
57,5.154,29/07/2004,2004-07-29,1.561,1002,0.28,0.338,0.343,0.408,0.289,0.349,0.355,0.33742857142857136
58,4.829,30/07/2004,2004-07-30,1.72,1111,0.415,0.45,0.41,0.404,0.289,0.348,0.355,0.38157142857142856
59,6.588,31/07/2004,2004-07-31,1.896,1242,0.371,0.436,0.397,0.399,0.289,0.347,0.354,0.37042857142857144
60,6.13,01/08/2004,2004-08-01,2.109,1369,0.402,0.447,0.449,0.458,0.289,0.346,0.353,0.39199999999999996
61,4.662,02/08/2004,2004-08-02,2.327,1484,0.367,0.438,0.441,0.455,0.289,0.345,0.352,0.38385714285714284
62,6.098,03/08/2004,2004-08-03,2.535,1621,0.328,0.425,0.43,0.45,0.289,0.344,0.351,0.37385714285714283
63,3.74,04/08/2004,2004-08-04,2.736,1740,0.419,0.452,0.453,0.481,0.369,0.344,0.35,0.40971428571428575
64,5.424,05/08/2004,2004-08-05,2.917,1897,0.409,0.441,0.442,0.471,0.371,0.341,0.348,0.4032857142857143
65,4.393,06/08/2004,2004-08-06,3.081,2044,0.436,0.451,0.451,0.479,0.473,0.342,0.346,0.42542857142857143
66,6.071,07/08/2004,2004-08-07,3.246,2220,0.425,0.439,0.439,0.469,0.469,0.343,0.344,0.4182857142857142
67,4.8,08/08/2004,2004-08-08,3.426,2371,0.418,0.442,0.43,0.466,0.467,0.342,0.343,0.4154285714285714
68,5.992,09/08/2004,2004-08-09,3.582,2557,0.385,0.43,0.419,0.461,0.465,0.341,0.342,0.4061428571428572
69,3.526,10/08/2004,2004-08-10,3.647,2663,0.413,0.423,0.412,0.459,0.463,0.34,0.342,0.4074285714285714
70,3.453,11/08/2004,2004-08-11,3.689,2753,0.438,0.453,0.453,0.481,0.482,0.396,0.341,0.43485714285714294
71,4.012,12/08/2004,2004-08-12,3.783,2891,0.437,0.452,0.449,0.475,0.477,0.4,0.34,0.43285714285714283
72,4.587,13/08/2004,2004-08-13,3.857,3029,0.437,0.451,0.451,0.48,0.481,0.465,0.365,0.4471428571428571
73,4.748,14/08/2004,2004-08-14,3.947,3190,0.431,0.442,0.442,0.471,0.474,0.459,0.372,0.44157142857142856
74,3.571,15/08/2004,2004-08-15,4.041,3325,0.425,0.435,0.435,0.468,0.471,0.457,0.371,0.4374285714285714
75,5.339,16/08/2004,2004-08-16,4.169,3503,0.401,0.425,0.425,0.464,0.469,0.455,0.369,0.4297142857142857
76,4.541,17/08/2004,2004-08-17,4.284,3666,0.437,0.451,0.451,0.48,0.481,0.465,0.428,0.45614285714285707
77,4.524,18/08/2004,2004-08-18,4.389,3834,0.43,0.443,0.442,0.472,0.473,0.459,0.436,0.4507142857142857
78,3.951,19/08/2004,2004-08-19,4.434,3962,0.438,0.452,0.452,0.48,0.481,0.466,0.466,0.4621428571428572
79,5.305,20/08/2004,2004-08-20,4.498,4155,0.429,0.442,0.441,0.471,0.473,0.46,0.459,0.45357142857142857
80,5.417,21/08/2004,2004-08-21,4.555,4355,0.42,0.431,0.43,0.466,0.469,0.458,0.457,0.44728571428571423
81,5.721,22/08/2004,2004-08-22,4.612,4533,0.398,0.42,0.42,0.462,0.466,0.456,0.455,0.43957142857142856
82,3.607,23/08/2004,2004-08-23,4.648,4658,0.384,0.413,0.413,0.459,0.464,0.455,0.454,0.4345714285714286
83,4.798,24/08/2004,2004-08-24,4.67,4810,0.401,0.403,0.404,0.456,0.461,0.453,0.452,0.43285714285714283
84,3.497,25/08/2004,2004-08-25,4.653,4936,0.439,0.453,0.453,0.481,0.481,0.458,0.452,0.4595714285714286
85,5.724,26/08/2004,2004-08-26,4.64,5103,0.429,0.442,0.442,0.471,0.472,0.455,0.455,0.4522857142857143
86,5.206,27/08/2004,2004-08-27,4.613,5270,0.421,0.432,0.432,0.467,0.469,0.453,0.453,0.4467142857142857
87,2.989,28/08/2004,2004-08-28,4.558,5359,0.409,0.426,0.426,0.464,0.467,0.452,0.452,0.4422857142857142
88,5.028,29/08/2004,2004-08-29,4.524,5517,0.39,0.417,0.417,0.461,0.464,0.45,0.45,0.4355714285714286
