@YEAR,DOY,DAS,SRAA,TMAXA,TMINA,REFA,EOAA,EOPA,EOSA,ET,EPAA,ESAA,EFAA,EMAA,EOAC,ETAC,EPAC,ESAC,EFAC,EMAC,KCAA,KBSA,KEAA,ES1D,ES2D,ES3D,ES4D,ES5D,ES6D,ES7D,TRWUD,Date,LAID,AGB,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW_Mean
2006,139,1,28,34,15.7,-99,7.741,0,7.741,1.732,0,1.732,0,0,7.74,1.73,0,1.73,0,0,-99,-99,-99,1.415,0.202,0.062,0.025,0.013,0.009,0.006,0,05/19/2006,0,0,0.261,0.346,0.349,0.44,0.44,0.45,0.45,0.390857143
2006,140,2,12.2,26.6,14.6,-99,3.065,0,3.065,1.593,0,1.593,0,0,10.81,3.32,0,3.32,0,0,-99,-99,-99,1.277,0.201,0.062,0.025,0.013,0.009,0.006,0,05/20/2006,0,0,0.242,0.344,0.349,0.439,0.44,0.45,0.45,0.387714286
2006,141,3,21.8,24.8,12.4,-99,5.248,0,5.248,1.472,0,1.472,0,0,16.05,4.8,0,4.8,0,0,-99,-99,-99,1.158,0.2,0.062,0.025,0.013,0.009,0.006,0,05/21/2006,0,0,0.224,0.343,0.348,0.439,0.44,0.45,0.45,0.384857143
2006,142,4,28.4,29.6,11.5,-99,7.168,0,7.168,1.359,0,1.359,0,0,23.22,6.16,0,6.16,0,0,-99,-99,-99,1.046,0.198,0.062,0.025,0.013,0.009,0.006,0,05/22/2006,0,0,0.209,0.341,0.348,0.439,0.44,0.45,0.45,0.382428571
2006,143,5,24.9,32.8,16.2,-99,6.73,0,6.73,1.742,0,1.742,0,0,29.95,7.9,0,7.9,0,0,-99,-99,-99,1.405,0.222,0.062,0.025,0.013,0.009,0.006,0,05/23/2006,0,0,0.195,0.339,0.348,0.439,0.439,0.45,0.45,0.38
2006,144,6,30,31.6,15.9,-99,8.162,0,8.162,3.435,0,3.435,0,0,38.12,11.33,0,11.33,0,0,-99,-99,-99,0.189,0.402,0.498,0.52,0.521,0.653,0.653,0,05/24/2006,0,0,0.182,0.337,0.347,0.439,0.439,0.45,0.45,0.377714286
2006,145,7,28.2,29.4,16.2,-99,7.491,0.063,7.454,2.138,0.063,2.075,0,0,45.61,13.47,0.06,13.41,0,0,-99,-99,-99,1.718,0.243,0.062,0.024,0.013,0.009,0.006,0.006,05/25/2006,0,0,0.171,0.335,0.347,0.438,0.439,0.45,0.45,0.375714286
2006,146,8,20.3,28.1,12.2,-99,5.126,0.044,5.1,2.048,0.044,2.004,0,0,50.73,15.52,0.11,15.41,0,0,-99,-99,-99,1.649,0.241,0.062,0.024,0.013,0.009,0.006,0.004,05/26/2006,0,0,0.161,0.333,0.347,0.438,0.439,0.449,0.45,0.373857143
2006,147,9,20.8,32.9,18.5,-99,5.818,0.051,5.788,2.052,0.051,2.001,0,0,56.55,17.57,0.16,17.41,0,0,-99,-99,-99,1.648,0.24,0.061,0.024,0.013,0.009,0.006,0.005,05/27/2006,0.012,8,0.152,0.332,0.346,0.438,0.439,0.449,0.45,0.372285714
2006,148,10,29.3,34,22.9,-99,8.537,0.077,8.493,1.969,0.077,1.892,0,0,65.09,19.54,0.24,19.3,0,0,-99,-99,-99,1.541,0.238,0.061,0.024,0.013,0.009,0.006,0.008,05/28/2006,0.013,8,0.143,0.33,0.346,0.438,0.439,0.449,0.45,0.370714286
2006,149,11,17.3,31,22.6,-99,4.854,0.046,4.828,1.779,0.046,1.733,0,0,69.94,21.32,0.28,21.04,0,0,-99,-99,-99,1.384,0.236,0.061,0.024,0.013,0.009,0.006,0.005,05/29/2006,0.013,8,0.136,0.328,0.345,0.438,0.439,0.449,0.45,0.369285714
2006,150,12,20.8,28,18,-99,5.44,0.053,5.409,1.664,0.053,1.611,0,0,75.38,22.98,0.33,22.65,0,0,-99,-99,-99,1.263,0.234,0.061,0.024,0.013,0.009,0.006,0.005,05/30/2006,0.013,8,0.422,0.341,0.344,0.438,0.439,0.449,0.45,0.411857143
2006,151,13,25.7,29.6,17.1,-99,6.779,0.076,6.735,1.576,0.076,1.501,0,0,82.16,24.56,0.41,24.15,0,0,-99,-99,-99,1.155,0.233,0.061,0.024,0.013,0.009,0.006,0.008,05/31/2006,0.014,9,0.387,0.339,0.344,0.437,0.439,0.449,0.45,0.406428571
2006,152,14,25,29.4,16.6,-99,6.532,0.083,6.485,1.464,0.083,1.382,0,0,88.69,26.02,0.49,25.53,0,0,-99,-99,-99,1.038,0.231,0.061,0.024,0.013,0.009,0.006,0.008,06/01/2006,0.015,9,0.354,0.337,0.343,0.437,0.439,0.449,0.449,0.401142857
2006,153,15,29.6,32,11.6,-99,7.646,0.11,7.583,1.385,0.11,1.275,0,0,96.34,27.41,0.6,26.81,0,0,-99,-99,-99,0.934,0.229,0.061,0.024,0.013,0.009,0.006,0.011,06/02/2006,0.016,10,0.35,0.335,0.343,0.437,0.438,0.449,0.449,0.400142857
2006,154,16,25,31,17.3,-99,6.644,0.107,6.582,1.286,0.107,1.179,0,0,102.98,28.69,0.71,27.98,0,0,-99,-99,-99,0.839,0.227,0.061,0.024,0.013,0.009,0.006,0.011,06/03/2006,0.018,10,0.34,0.333,0.342,0.437,0.438,0.449,0.449,0.398285714
2006,155,17,25.8,27.4,17.3,-99,6.568,0.12,6.498,1.656,0.12,1.536,0,0,109.55,30.35,0.83,29.52,0,0,-99,-99,-99,1.199,0.225,0.06,0.024,0.013,0.009,0.006,0.012,06/04/2006,0.02,12,0.313,0.331,0.341,0.437,0.438,0.449,0.449,0.394
2006,156,18,16,26.5,18,-99,4.138,0.083,4.09,1.94,0.083,1.857,0,0,113.69,32.29,0.91,31.38,0,0,-99,-99,-99,1.522,0.223,0.06,0.024,0.013,0.009,0.006,0.008,06/05/2006,0.023,13,0.288,0.329,0.341,0.436,0.438,0.449,0.449,0.39
2006,157,19,30.8,32.8,17.2,-99,8.456,0.19,8.345,1.891,0.19,1.7,0,0,122.14,34.18,1.1,33.08,0,0,-99,-99,-99,1.367,0.222,0.06,0.024,0.013,0.009,0.006,0.019,06/06/2006,0.026,14,0.272,0.327,0.34,0.436,0.438,0.449,0.449,0.387285714
2006,158,20,24.5,33.8,14.2,-99,6.625,0.17,6.526,1.727,0.17,1.557,0,0,128.77,35.91,1.27,34.63,0,0,-99,-99,-99,1.226,0.22,0.06,0.024,0.013,0.009,0.006,0.017,06/07/2006,0.029,16,0.251,0.325,0.339,0.436,0.438,0.449,0.449,0.383857143
2006,159,21,17.2,30.9,19.9,-99,4.678,0.133,4.601,1.563,0.133,1.43,0,0,133.45,37.47,1.41,36.06,0,0,-99,-99,-99,1.101,0.218,0.06,0.024,0.013,0.009,0.006,0.013,06/08/2006,0.032,19,0.233,0.323,0.338,0.436,0.438,0.449,0.449,0.380857143
2006,160,22,28.5,37,21.6,-99,9.086,0.289,8.917,1.611,0.289,1.322,0,0,142.53,39.08,1.7,37.39,0,0,-99,-99,-99,0.995,0.216,0.06,0.024,0.013,0.009,0.006,0.029,06/09/2006,0.036,22,0.217,0.321,0.337,0.435,0.438,0.449,0.449,0.378
2006,161,23,18.8,27.8,14.9,-99,4.727,0.166,4.63,1.394,0.166,1.229,0,0,147.26,40.48,1.86,38.62,0,0,-99,-99,-99,0.904,0.214,0.059,0.024,0.013,0.009,0.006,0.017,06/10/2006,0.041,25,0.202,0.319,0.336,0.435,0.438,0.449,0.449,0.375428571
2006,162,24,10.4,20.5,13.1,-99,2.351,0.088,2.299,1.229,0.088,1.14,0,0,149.61,41.7,1.95,39.76,0,0,-99,-99,-99,0.818,0.212,0.059,0.024,0.013,0.009,0.006,0.009,06/11/2006,0.045,28,0.352,0.317,0.335,0.435,0.438,0.449,0.449,0.396428571
2006,163,25,26.5,24.5,10.1,-99,6.129,0.241,5.987,1.297,0.241,1.056,0,0,155.74,43,2.19,40.81,0,0,-99,-99,-99,0.735,0.21,0.059,0.024,0.013,0.009,0.006,0.024,06/12/2006,0.05,31,0.323,0.315,0.334,0.434,0.437,0.448,0.449,0.391428571
2006,164,26,30.2,29.7,11.5,-99,7.505,0.314,7.321,1.294,0.314,0.98,0,0,163.25,44.3,2.5,41.79,0,0,-99,-99,-99,0.661,0.208,0.059,0.024,0.013,0.009,0.006,0.031,06/13/2006,0.054,35,0.296,0.313,0.333,0.434,0.437,0.448,0.449,0.387142857
2006,165,27,29.4,32.6,16.1,-99,7.797,0.356,7.587,1.267,0.356,0.91,0,0,171.04,45.56,2.86,42.7,0,0,-99,-99,-99,0.594,0.206,0.058,0.024,0.013,0.009,0.006,0.036,06/14/2006,0.058,39,0.273,0.311,0.332,0.433,0.437,0.448,0.449,0.383285714
2006,166,28,22.1,31.1,21.4,-99,5.977,0.301,5.8,1.149,0.301,0.848,0,0,177.02,46.71,3.16,43.55,0,0,-99,-99,-99,0.535,0.204,0.058,0.024,0.013,0.009,0.006,0.03,06/15/2006,0.066,43,0.253,0.309,0.331,0.433,0.437,0.448,0.449,0.38
