Date,Real_LAI
06/09/2004,0.006
16/06/2004,0.045
22/06/2004,0.078
25/06/2004,0.111
29/06/2004,0.196
07/08/2004,0.388
13/07/2004,0.933
16/07/2004,1.259
19/07/2004,1.586
23/07/2004,1.944
27/07/2004,2.275
30/07/2004,2.524
08/02/2004,2.831
08/05/2004,3.138
13/08/2004,3.956
18/08/2004,4.143
20/08/2004,4.218
24/08/2004,4.367
30/08/2004,4.305
09/03/2004,4.169
09/07/2004,4.032
09/10/2004,3.93
13/09/2004,3.827
17/09/2004,3.509
20/09/2004,2.861
24/09/2004,1.997
29/09/2004,0.917
