Year,Date,Field,Field Type,Crop,DOY,Real_LAI
2006,14/06/2006,3,Dryland,Soybean,165,0.249
2006,22/06/2006,3,Dryland,Soybean,173,0.477
2006,28/06/2006,3,Dryland,Soybean,179,0.943
2006,07/07/2006,3,Dryland,Soybean,188,1.402
2006,14/07/2006,3,Dryland,Soybean,195,2.158
2006,19/07/2006,3,Dryland,Soybean,200,2.933
2006,25/07/2006,3,Dryland,Soybean,206,3.564
2006,03/08/2006,3,Dryland,Soybean,215,4.51
2006,10/08/2006,3,Dryland,Soybean,222,4.448
2006,23/08/2006,3,Dryland,Soybean,235,3.624
2006,01/09/2006,3,Dryland,Soybean,244,2.946
2006,08/09/2006,3,Dryland,Soybean,251,2.077
2006,15/09/2006,3,Dryland,Soybean,258,1.207
2006,22/09/2006,3,Dryland,Soybean,265,0.684
2006,02/10/2006,3,Dryland,Soybean,275,0.307
