DATE,MIN_SWC,mean_SWC,MAX_SWC
01/01/2004,31.6,34.425,38.6
01/02/2004,31.6,34.425,38.6
01/03/2004,31.5,34.375,38.6
01/04/2004,31.4,34.275,38.5
01/05/2004,31.3,34.225,38.5
01/06/2004,31.2,34.175,38.5
01/07/2004,31,34.025,38.3
01/08/2004,30.9,33.9,38.2
01/09/2004,30.8,33.85,38.2
01/10/2004,30.6,33.675,38
01/11/2004,31.4,33.925,37.9
01/12/2004,32.4,34.475,38
01/13/2004,32.2,34.55,38.2
01/14/2004,32.2,34.475,38.2
01/15/2004,32,34.425,38.3
01/16/2004,31.9,34.375,38.3
01/17/2004,33.1,35.05,38.6
01/18/2004,32,34.525,38.4
01/19/2004,29.5,32.95,37.7
01/20/2004,24.8,30.575,36.3
01/21/2004,21.5,28.85,35.2
01/22/2004,21.4,28.675,35.1
01/23/2004,19.6,27.725,34.5
01/24/2004,21.5,28.525,35
01/25/2004,20.3,27.975,34.7
01/26/2004,19.7,27.6,34.5
01/27/2004,20.1,27.725,34.6
01/28/2004,19.9,27.55,34.5
01/29/2004,19.6,27.375,34.4
01/30/2004,19.3,27.225,34.3
01/31/2004,19.1,27.125,34.3
02/01/2004,19.4,27.2,34.3
02/02/2004,20.1,27.425,34.4
02/03/2004,21.1,27.75,34.5
02/04/2004,21.8,27.875,34.4
02/05/2004,22.7,28.15,34.5
02/06/2004,23.6,28.5,34.6
02/07/2004,24.4,28.8,34.7
02/08/2004,24.9,28.875,34.7
02/09/2004,25.1,28.85,34.7
02/10/2004,25.5,29.025,34.8
02/11/2004,25.8,29.225,34.9
02/12/2004,26.1,29.4,35
02/13/2004,26,29.35,34.9
02/14/2004,25.8,29.25,34.9
02/15/2004,25.6,29.15,34.8
02/16/2004,25.2,28.95,34.7
02/17/2004,25,28.875,34.7
02/18/2004,25.2,28.975,34.8
02/19/2004,27,29.725,35
02/20/2004,31.9,34.125,37
02/21/2004,33.8,35.95,38
02/22/2004,34.7,37.175,39
02/23/2004,35.7,38.05,39.9
02/24/2004,35.1,37.425,39.8
02/25/2004,33.9,36.175,39.7
02/26/2004,32,35.025,39.2
02/27/2004,32.2,34.95,39.2
02/28/2004,32.2,34.9,39.3
02/29/2004,32.9,35.35,39.3
03/01/2004,35.1,37.375,39.9
03/02/2004,33.5,35.975,39.5
03/03/2004,33.1,35.4,39.2
03/04/2004,34.3,36.25,39.5
03/05/2004,36,38.6,39.9
03/06/2004,35.3,37.7,39.4
03/07/2004,33.7,36.125,39.2
03/08/2004,32.6,35.225,39.1
03/09/2004,32.2,34.85,39
03/10/2004,31.9,34.6,38.9
03/11/2004,31.5,34.35,38.8
03/12/2004,31,34.125,38.8
03/13/2004,31,34.075,38.7
03/14/2004,30.9,34,38.7
03/15/2004,31.9,34.425,38.8
03/16/2004,34.1,36.05,39.3
03/17/2004,35.5,37.4,39.8
03/18/2004,34.1,36.6,39.6
03/19/2004,33.1,35.65,39.3
03/20/2004,32.7,35.2,39.2
