DATE,MIN_SWC,mean_SWC,MAX_SWC
2004-01-01,31.6,34.425000000000004,38.6
2004-01-02,31.6,34.425000000000004,38.6
2004-01-03,31.5,34.375,38.6
2004-01-04,31.4,34.275,38.5
2004-01-05,31.3,34.225,38.5
2004-01-06,31.2,34.175,38.5
2004-01-07,31.0,34.025,38.3
2004-01-08,30.9,33.900000000000006,38.2
2004-01-09,30.8,33.85,38.2
2004-01-10,30.6,33.675,38.0
2004-01-11,31.4,33.925,37.9
2004-01-12,32.4,34.475,38.0
2004-01-13,32.2,34.55,38.2
2004-01-14,32.2,34.47500000000001,38.2
2004-01-15,32.0,34.425,38.3
2004-01-16,31.9,34.375,38.3
2004-01-17,33.1,35.050000000000004,38.6
2004-01-18,32.0,34.525,38.4
2004-01-19,29.5,32.95,37.7
2004-01-20,24.8,30.575,36.3
2004-01-21,21.5,28.85,35.2
2004-01-22,21.4,28.674999999999997,35.1
2004-01-23,19.6,27.725,34.5
2004-01-24,21.5,28.525,35.0
2004-01-25,20.3,27.975,34.7
2004-01-26,19.7,27.6,34.5
2004-01-27,20.1,27.725,34.6
2004-01-28,19.9,27.55,34.5
2004-01-29,19.6,27.375,34.4
2004-01-30,19.3,27.224999999999998,34.3
2004-01-31,19.1,27.125,34.3
2004-02-01,19.4,27.2,34.3
2004-02-02,20.1,27.425000000000004,34.4
2004-02-03,21.1,27.75,34.5
2004-02-04,21.8,27.875,34.4
2004-02-05,22.7,28.15,34.5
2004-02-06,23.6,28.5,34.6
2004-02-07,24.4,28.8,34.7
2004-02-08,24.9,28.875,34.7
2004-02-09,25.1,28.85,34.7
2004-02-10,25.5,29.025000000000002,34.8
2004-02-11,25.8,29.225,34.9
2004-02-12,26.1,29.4,35.0
2004-02-13,26.0,29.35,34.9
2004-02-14,25.8,29.25,34.9
2004-02-15,25.6,29.150000000000002,34.8
2004-02-16,25.2,28.95,34.7
2004-02-17,25.0,28.875,34.7
2004-02-18,25.2,28.974999999999998,34.8
2004-02-19,27.0,29.725,35.0
2004-02-20,31.9,34.125,37.0
2004-02-21,33.8,35.95,38.0
2004-02-22,34.7,37.175000000000004,39.0
2004-02-23,35.7,38.05,39.9
2004-02-24,35.1,37.425,39.8
2004-02-25,33.9,36.175,39.7
2004-02-26,32.0,35.025,39.2
2004-02-27,32.2,34.95,39.2
2004-02-28,32.2,34.9,39.3
2004-02-29,32.9,35.349999999999994,39.3
2004-03-01,35.1,37.375,39.9
2004-03-02,33.5,35.975,39.5
2004-03-03,33.1,35.400000000000006,39.2
2004-03-04,34.3,36.25,39.5
2004-03-05,36.0,38.6,39.9
2004-03-06,35.3,37.699999999999996,39.4
2004-03-07,33.7,36.125,39.2
2004-03-08,32.6,35.225,39.1
2004-03-09,32.2,34.849999999999994,39.0
2004-03-10,31.9,34.6,38.9
2004-03-11,31.5,34.349999999999994,38.8
2004-03-12,31.0,34.125,38.8
2004-03-13,31.0,34.075,38.7
2004-03-14,30.9,34.0,38.7
2004-03-15,31.9,34.425,38.8
2004-03-16,34.1,36.05,39.3
2004-03-17,35.5,37.4,39.8
2004-03-18,34.1,36.6,39.6
2004-03-19,33.1,35.65,39.3
2004-03-20,32.7,35.2,39.2
2004-03-21,31.8,34.725,39.0
2004-03-22,31.6,34.575,39.0
2004-03-23,31.5,34.45,38.9
2004-03-24,31.5,34.425,38.9
2004-03-25,31.6,34.45,38.9
2004-03-26,31.6,34.45,38.9
2004-03-27,35.5,37.275,39.6
2004-03-28,36.1,38.425000000000004,40.2
2004-03-29,33.8,36.25,39.6
2004-03-30,32.8,35.45,39.3
2004-03-31,32.4,35.15,39.2
2004-04-01,32.3,35.0,39.1
2004-04-02,32.1,34.85,39.0
2004-04-03,31.9,34.725,39.0
2004-04-04,31.8,34.625,38.9
2004-04-05,31.7,34.55,38.8
2004-04-06,31.7,34.5,38.8
2004-04-07,31.6,34.475,38.8
2004-04-08,31.5,34.375,38.7
2004-04-09,31.3,34.3,38.7
2004-04-10,31.1,34.2,38.7
2004-04-11,30.9,34.1,38.6
2004-04-12,30.9,34.05,38.6
2004-04-13,30.8,34.0,38.6
2004-04-14,30.9,34.025,38.6
2004-04-15,31.0,34.075,38.6
2004-04-16,31.0,34.075,38.6
2004-04-17,31.1,34.1,38.6
2004-04-18,31.2,34.175,38.6
2004-04-19,31.0,34.075,38.6
2004-04-20,30.9,34.025,38.6
2004-04-21,30.9,34.025,38.6
2004-04-22,30.8,33.925,38.5
2004-04-23,30.7,33.9,38.5
2004-04-24,33.0,35.5,39.1
2004-04-25,33.7,36.35,39.6
2004-04-26,32.7,35.400000000000006,39.3
2004-04-27,32.4,35.05,39.1
2004-04-28,34.0,35.974999999999994,39.8
2004-04-29,35.5,36.875,40.4
2004-04-30,35.3,36.775,40.4
2004-05-01,35.2,36.7,40.4
2004-05-02,35.2,36.675000000000004,40.4
2004-05-03,35.1,36.625,40.4
2004-05-04,35.1,36.65,40.4
2004-05-05,34.2,36.074999999999996,39.9
2004-05-06,33.2,35.5,39.4
2004-05-07,33.4,35.675,39.5
2004-05-08,33.6,35.75,39.5
2004-05-09,33.6,35.75,39.5
2004-05-10,34.0,36.025000000000006,39.7
2004-05-11,34.1,36.099999999999994,39.7
2004-05-12,34.0,36.075,39.7
2004-05-13,33.8,35.974999999999994,39.7
2004-05-14,33.7,35.9,39.6
2004-05-15,33.6,35.85,39.6
2004-05-16,33.7,35.875,39.6
2004-05-17,33.8,35.925,39.6
2004-05-18,33.8,35.925,39.6
2004-05-19,33.9,35.949999999999996,39.6
2004-05-20,33.9,35.975,39.6
2004-05-21,33.9,35.975,39.6
2004-05-22,34.8,36.449999999999996,39.8
2004-05-23,36.2,37.825,40.1
2004-05-24,35.5,37.0,40.1
2004-05-25,35.6,37.025,40.1
2004-05-26,35.5,36.925,40.1
2004-05-27,35.4,36.849999999999994,40.0
2004-05-28,35.3,36.775,40.0
2004-05-29,35.3,36.775,40.0
2004-05-30,36.5,38.349999999999994,40.2
2004-05-31,35.6,37.025,40.1
2004-06-01,35.4,36.9,40.1
2004-06-02,35.3,36.775,40.0
2004-06-03,35.2,36.7,40.0
2004-06-04,35.2,36.675000000000004,40.0
2004-06-05,35.0,36.55,39.9
2004-06-06,34.9,36.5,39.9
2004-06-07,34.8,36.474999999999994,39.9
2004-06-08,34.7,36.425,39.9
