,Date,@YEAR,DOY,DAS,DAP,L#SD,GSTD,LAID,LWAD,SWAD,GWAD,RWAD,VWAD,CWAD,G#AD,GWGD,HIAD,PWAD,P#AD,WSPD,WSGD,NSTD,EWSD,PST1A,PST2A,KSTD,LN%D,SH%D,HIPD,PWDD,PWTD,SLAD,CHTD,CWID,RDPD,RL1D,RL2D,RL3D,RL4D,RL5D,RL6D,RL7D,CDAD,LDAD,SDAD,SNW0C,SNW1C,DTTD,CWAD,ETAA,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW_Mean
0,05/11/2007,2007,131,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,16.28,0,1.665,0.34,0.36,0.36,0.33,0.33,0.37,0.37,0.374142857
1,05/12/2007,2007,132,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,17.53,0,1.526,0.313,0.358,0.36,0.33,0.33,0.37,0.37,0.370428571
2,05/13/2007,2007,133,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,17.59,0,1.792,0.288,0.356,0.359,0.33,0.33,0.37,0.37,0.366857143
3,05/14/2007,2007,134,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,18.48,0,2.12,0.41,0.378,0.359,0.33,0.33,0.37,0.37,0.363857143
4,05/15/2007,2007,135,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,5.77,0,2.025,0.404,0.415,0.358,0.329,0.33,0.37,0.37,0.361
5,05/16/2007,2007,136,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0,1.853,0.37,0.413,0.358,0.329,0.33,0.37,0.37,0.358428571
6,05/17/2007,2007,137,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,8.08,0,1.699,0.34,0.41,0.358,0.329,0.33,0.37,0.37,0.356142857
7,05/18/2007,2007,138,9,7,1,1,0,30,30,0,30,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,0,0,0.15,0.6,0.28,0,0,0,0,0,0,0,0,0,0,11.39,0,1.559,0.313,0.408,0.357,0.329,0.33,0.37,0.37,0.353714286
8,05/19/2007,2007,139,10,8,2,1,0.01,30,30,0,31,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.6,0,0,0.17,0.61,0.29,0,0,0,0,0,0,0,0,0,0,13.57,60,1.434,0.288,0.406,0.357,0.329,0.329,0.37,0.37,0.351857143
9,05/20/2007,2007,140,11,9,2,1,0.01,30,30,0,33,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0.18,0.62,0.31,0,0,0,0,0,0,0,0,0,0,14.84,60,1.321,0.266,0.404,0.356,0.329,0.329,0.37,0.37,0.349857143
10,05/21/2007,2007,141,12,10,2,1,0.02,30,30,0,35,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.4,0,0,0.2,0.62,0.34,0.01,0,0,0,0,0,0,0,0,0,15.41,60,1.243,0.246,0.401,0.356,0.329,0.329,0.37,0.37,0.348428571
11,05/22/2007,2007,142,13,11,3,1,0.03,30,30,0,36,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.3,0.01,0,0.21,0.62,0.35,0.02,0,0,0,0,0,0,0,0,0,14.13,60,1.583,0.234,0.399,0.356,0.329,0.329,0.37,0.37,0.346857143
12,05/23/2007,2007,143,14,12,3,1,0.03,30,30,0,39,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.3,0.01,0,0.22,0.64,0.37,0.03,0,0,0,0,0,0,0,0,0,12.07,60,2.083,0.37,0.397,0.355,0.328,0.329,0.369,0.37,0.345428571
13,05/24/2007,2007,144,15,13,3,1,0.04,30,30,0,43,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.4,0.01,0,0.23,0.67,0.41,0.05,0,0,0,0,0,0,0,0,0,7.93,60,3.371,0.406,0.435,0.438,0.334,0.329,0.369,0.37,0.358857143
14,05/25/2007,2007,145,16,14,3,1,0.04,30,30,0,51,60,60,0,0,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,131.1,0.01,0,0.24,0.72,0.46,0.09,0,0,0,0,0,0,0,0,0,8.87,60,3.348,0.401,0.431,0.431,0.333,0.326,0.366,0.366,0.404
15,05/26/2007,2007,146,17,15,3,1,0.04,30,30,0,56,60,60,0,0,0,0,0,0,0,0,0.678,0,0,0,0,0,0,0,0,136.2,0.01,0,0.25,0.75,0.5,0.12,0,0,0,0,0,0,0,0,0,9.53,60,3.333,0.435,0.434,0.434,0.337,0.324,0.363,0.363,0.427
16,05/27/2007,2007,147,18,16,4,1,0.05,30,30,0,61,60,60,0,0,0,0,0,0,0,0,0.558,0,0,0,0,0,0,0,0,159.5,0.01,0,0.26,0.78,0.53,0.14,0,0,0,0,0,0,0,0,0,9.91,60,3.316,0.431,0.43,0.43,0.334,0.321,0.36,0.36,0.423857143
