Year,Date,Field,Field Type,Crop,DOY,LAI
2007,20/06/2007,1,Irrigated,Bt Corn,171,2.964
2007,26/06/2007,1,Irrigated,Bt Corn,177,4.808
2007,03/07/2007,1,Irrigated,Bt Corn,184,5.735
2007,11/07/2007,1,Irrigated,Bt Corn,192,6.44
2007,17/07/2007,1,Irrigated,Bt Corn,198,6.211
2007,25/07/2007,1,Irrigated,Bt Corn,206,6.133
2007,31/07/2007,1,Irrigated,Bt Corn,212,5.857
2007,09/08/2007,1,Irrigated,Bt Corn,221,5.64
2007,15/08/2007,1,Irrigated,Bt Corn,227,5.546
2007,24/08/2007,1,Irrigated,Bt Corn,236,5.141
2007,05/09/2007,1,Irrigated,Bt Corn,248,4.593
2007,12/09/2007,1,Irrigated,Bt Corn,255,4.457
2007,19/09/2007,1,Irrigated,Bt Corn,262,4.321
