Year,Date,Field,Field Type,Crop,DOY,Real_LAI
2003,06/09/2003,3,Dryland,Bt Corn,160,0.172
2003,06/16/2003,3,Dryland,Bt Corn,167,0.456
2003,06/19/2003,3,Dryland,Bt Corn,170,0.578
2003,06/23/2003,3,Dryland,Bt Corn,174,1.286
2003,06/26/2003,3,Dryland,Bt Corn,177,1.816
2003,06/30/2003,3,Dryland,Bt Corn,181,2.524
2003,07/03/2003,3,Dryland,Bt Corn,184,3.054
2003,07/07/2003,3,Dryland,Bt Corn,188,3.5
2003,07/10/2003,3,Dryland,Bt Corn,191,3.835
2003,07/14/2003,3,Dryland,Bt Corn,195,4.28
2003,07/17/2003,3,Dryland,Bt Corn,198,4.261
2003,07/21/2003,3,Dryland,Bt Corn,202,4.235
2003,07/24/2003,3,Dryland,Bt Corn,205,4.194
2003,07/28/2003,3,Dryland,Bt Corn,209,4.085
2003,08/01/2003,3,Dryland,Bt Corn,213,3.976
2003,08/08/2003,3,Dryland,Bt Corn,220,3.846
2003,08/15/2003,3,Dryland,Bt Corn,227,3.761
2003,08/20/2003,3,Dryland,Bt Corn,232,3.701
2003,08/22/2003,3,Dryland,Bt Corn,234,3.61
2003,08/26/2003,3,Dryland,Bt Corn,238,3.426
2003,08/28/2003,3,Dryland,Bt Corn,240,3.335
2003,09/02/2003,3,Dryland,Bt Corn,245,3.106
