DATE,MIN_SWC,mean_SWC,MAX_SWC
2005-01-01,30.7,33.725,38.4
2005-01-02,30.9,33.85,38.5
2005-01-03,30.7,33.8,38.5
2005-01-04,29.7,33.3,38.2
2005-01-05,28.8,32.724999999999994,37.8
2005-01-06,28.7,32.625,37.7
2005-01-07,28.7,32.625,37.7
2005-01-08,28.9,32.675,37.7
2005-01-09,28.9,32.7,37.7
2005-01-10,29.2,32.849999999999994,37.8
2005-01-11,29.5,32.975,37.9
2005-01-12,29.6,33.075,38.0
2005-01-13,29.8,33.175,38.1
2005-01-14,29.8,33.175,38.1
2005-01-15,29.5,33.05,38.0
2005-01-16,29.1,32.825,37.9
2005-01-17,28.6,32.5,37.6
2005-01-18,28.3,32.325,37.5
2005-01-19,28.5,32.45,37.6
2005-01-20,28.8,32.599999999999994,37.7
2005-01-21,29.1,32.75,37.8
2005-01-22,29.6,32.925000000000004,37.9
2005-01-23,29.4,32.875,37.9
2005-01-24,28.8,32.6,37.7
2005-01-25,29.9,33.15,38.1
2005-01-26,32.3,34.625,39.1
2005-01-27,32.4,34.725,39.1
2005-01-28,32.3,34.7,39.1
2005-01-29,32.5,34.8,39.1
2005-01-30,32.9,35.075,39.2
2005-01-31,33.6,35.675,39.6
2005-02-01,34.2,36.325,40.0
2005-02-02,34.2,36.35,40.0
2005-02-03,33.9,36.15,39.9
2005-02-04,34.1,36.275,40.0
2005-02-05,34.0,36.1,40.0
2005-02-06,35.5,37.599999999999994,40.2
2005-02-07,35.3,37.675,39.9
2005-02-08,33.6,36.0,39.6
2005-02-09,33.3,35.625,39.4
2005-02-10,33.1,35.45,39.3
2005-02-11,33.3,35.375,39.3
2005-02-12,34.8,36.525,39.8
2005-02-13,35.8,38.75,40.4
2005-02-14,35.4,38.225,40.1
2005-02-15,35.1,37.9,39.9
2005-02-16,34.0,36.225,39.6
2005-02-17,33.6,35.725,39.5
2005-02-18,33.3,35.55,39.4
2005-02-19,33.3,35.474999999999994,39.4
2005-02-20,33.5,35.625,39.5
2005-02-21,33.5,35.599999999999994,39.5
2005-02-22,33.5,35.55,39.5
2005-02-23,33.4,35.475,39.4
2005-02-24,33.3,35.4,39.4
2005-02-25,33.0,35.25,39.3
2005-02-26,32.9,35.2,39.3
2005-02-27,32.8,35.150000000000006,39.3
2005-02-28,32.5,35.0,39.2
2005-03-01,32.2,34.85,39.2
2005-03-02,32.0,34.75,39.1
2005-03-03,32.0,34.75,39.1
2005-03-04,32.1,34.775000000000006,39.1
2005-03-05,32.1,34.75,39.2
2005-03-06,32.1,34.775000000000006,39.2
2005-03-07,32.2,34.825,39.2
2005-03-08,32.0,34.699999999999996,39.1
2005-03-09,31.9,34.65,39.1
2005-03-10,31.9,34.65,39.1
2005-03-11,31.8,34.575,39.1
2005-03-12,31.8,34.575,39.1
2005-03-13,31.7,34.5,39.0
2005-03-14,31.6,34.45,39.0
2005-03-15,31.5,34.425,39.0
2005-03-16,31.5,34.4,39.0
2005-03-17,31.6,34.425000000000004,39.0
2005-03-18,31.6,34.425000000000004,39.0
2005-03-19,31.5,34.4,39.0
2005-03-20,31.4,34.375,39.0
2005-03-21,31.5,34.4,39.0
2005-03-22,31.4,34.325,39.0
2005-03-23,31.4,34.325,39.0
2005-03-24,31.4,34.325,39.0
